,entity,number,gender
0,Fundacja Świętego Józefa Konferencji Episkopatu Polski,Sing,Fem
1,Amerykańska Akademia Pediatryczna,Sing,Fem
2,Fundacja Ulicy Piotrkowskiej,Sing,Fem
3,Polonia Warszawa,Sing,Fem
4,Brandon Wheat Kings,Sing,Masc
5,JHT Kalajoki,Sing,Masc
6,Fundacja na rzecz Kultury Żywej „Białe Gawrony”,Sing,Fem
7,Zofia Hajkowicz-Brodzikowska,Sing,Fem
8,Komitet Narodowy Amerykanów Polskiego Pochodzenia,Sing,
9,Regina Pats,Sing,Fem
10,HC Pustertal–Val Pusteria,Sing,Masc
11,AZS Kolegium Karkonoskie Jelenia Góra,Sing,Neut
12,Polskie Towarzystwo Pediatryczne,Sing,Neut
13,Krywbas Krzywy Róg,Sing,Masc
14,HK Dukla Trenczyn,Sing,Masc
15,Rapid City Rush,Sing,Masc
16,Fundacja Instytut Edukacji Ekonomicznej im.,Sing,Fem
17,Ludwiga von Misesa,Sing,Fem
18,Akcja Menstruacja,Sing,Fem
19,Resovia,Sing,Fem
20,ŠHK 37 Piešťany,Sing,Masc
21,Lauda,Sing,Fem
22,Dniprowśki Wowky Dniepropetrowsk,Sing,Masc
23,Espoo United,,
24,JKS Jarosław,Sing,Masc
25,Budiwelnyk Kijów,Sing,Masc
26,Miecze Hallerowskie,Plur,Fem
27,New York Neurological Society,Sing,Masc
28,IK Comet,Sing,Masc
29,Fundacja TVN,Sing,Fem
30,HK Spišská Nová Ves,Sing,Masc
31,Spójnia Stargard,Sing,Masc
32,Djurgårdens IF Dam,Sing,Masc
33,Tampereen Ilves,Sing,Masc
34,ERC Ingolstadt,Sing,Masc
35,Chicago Stags,Sing,Neut
36,Instytut Medyczny Howarda Hughesa,Sing,Masc
37,HC 07 Detva,Sing,Masc
38,Fundacja TRES,Sing,Fem
39,Peristeri BC,Sing,
40,Fundacja „Polsko-Niemieckie Pojednanie”,Sing,Fem
41,Arena Kijów,Sing,Masc
42,Jugra Chanty-Mansyjsk,Sing,Masc
43,Instytut Energetyki Odnawialnej,Sing,Masc
44,Fundacja Mozilla,Sing,Fem
45,Pensacola Ice Pilots,Sing,Fem
46,Hospicjum Onkologiczne Świętego Krzysztofa,Sing,Neut
47,Fundacja Rozwoju Matematyki Rekreacyjnej Sfinks,Sing,Fem
48,AZS PSW Biała Podlaska,Sing,Fem
49,Fundacja im.,Sing,
50,Friedricha Naumanna,Sing,Fem
51,Luleå HF,Sing,Masc
52,Young-Sprinters HC,Sing,Masc
53,Związek Walki Wyzwoleńczej,Sing,Masc
54,Asplöven HC,Sing,Masc
55,Fundacja Wolnej Myśli,Sing,
56,Spartak Moskwa,Sing,Masc
57,Polsko-Amerykańska Fundacja Edukacji i Rozwoju Ekonomicznego,Sing,Fem
58,Dynama Mińsk,Sing,Fem
59,HC Lev Praga,Sing,Masc
60,KS Open Basket Pleszew,Sing,Neut
61,Związek Młodzieży Polskiej „Grunwald”,Sing,Masc
62,Linköping HC,Sing,Masc
63,Obradoiro CAB,,
64,The Scripps Research Institute,Sing,Masc
65,KK Dubrovnik,Sing,Masc
66,MUKS Praga Warszawa,Sing,Masc
67,KS Toruń HSA,Sing,Masc
68,Polskie Towarzystwo Ortopedyczne i Traumatologiczne,Sing,Neut
69,AZS Koszalin,Sing,Masc
70,Adirondack Phantoms,Sing,Masc
71,Dinamo Ryga,Sing,Masc
72,1.,Sing,Masc
73,FFC Frankfurt,Sing,Masc
74,Skra Częstochowa,Sing,Fem
75,MKK Pyra Poznań,Sing,Masc
76,KSK Noteć Inowrocław,,
77,Pollingua,Sing,Fem
78,HK Sarow,Sing,Masc
79,CPOR Donieck,Sing,Masc
80,Varsovia Warszawa,Sing,Fem
81,Fundacja Ochrony Dziedzictwa Żydowskiego,Sing,Fem
82,Nashville Predators,Sing,Neut
83,Poltransplant,Sing,Masc
84,Concilium Civitas,,
85,Oulun Kärpät,Sing,Masc
86,Helsińska Fundacja Praw Człowieka,Sing,Fem
87,Fundacja Wsparcia Rolnika Polska Ziemia,Sing,Fem
88,Klub Polskich Nieudaczników,Sing,Masc
89,Skellefteå AIK,Sing,Masc
90,HK Riga 2000,Sing,Masc
91,Toronto Raptors,Sing,Neut
92,HK MWD Bałaszycha,Sing,Masc
93,Sault Ste.,Sing,Masc
94,Marie Greyhounds,Sing,Fem
95,Amerykańskie Towarzystwo Medyczne,Sing,Neut
96,Fundacja Dzieło Nowego Tysiąclecia,Sing,Neut
97,Tyresö FF,Sing,Masc
98,Drummondville Voltigeurs,Sing,Neut
99,Mietałłurg Żłobin,Sing,Masc
100,Instytut Bronisława Komorowskiego,Sing,Masc
101,Adler Mannheim,Sing,Masc
102,Ognisko Polskie w Londynie,Sing,Neut
103,TS ROW Rybnik,Sing,Masc
104,PBG Basket Poznań,Sing,Masc
105,RTP Unia Racibórz,Sing,
106,KKP Bydgoszcz,Sing,Fem
107,Opole HK,Sing,
108,Houston Rockets,Sing,Masc
109,Spartak Sumy,Sing,Masc
110,Fundacja Mam Marzenie,Sing,
111,GKS Tychy,Sing,Masc
112,Fundacja Pruskiego Dziedzictwa Kulturowego,Sing,Fem
113,ZSC Lions,Sing,Masc
114,Kyjiwśka Ruś Kijów,Sing,Fem
115,Churches Conservation Trust,Sing,Masc
116,Stjernen Hockey,Sing,Masc
117,Schwenninger Wild Wings,Sing,Masc
118,Kamloops Blazers,Sing,Neut
119,Legia Warszawa,Sing,Fem
120,Instytut Chemicznej Przeróbki Węgla,Sing,Masc
121,Kuznieckije Miedwiedi Nowokuźnieck,Sing,
122,Fundacja Liderzy Przemian,Sing,Fem
123,Stilon Gorzów Wielkopolski,Plur,Masc
124,Mad Dogs Sopot,Sing,Masc
125,HK Bardejov,Sing,Masc
126,Fundacja Przestrzeń Kobiet,Sing,Fem
127,PTK Pabianice,Sing,Masc
128,Podhale Nowy Targ,Sing,Masc
129,Centrum przeciwko Wypędzeniom,Sing,Neut
130,Virginia Squires,Plur,Neut
131,Stowarzyszenie Społeczno-Kulturalne Polaków na Litwie,Sing,Fem
132,HK Mariupol,Sing,Masc
133,Fundacja Auschwitz-Birkenau,Sing,Fem
134,International DOI Foundation,Sing,Masc
135,Worony Sumy,Plur,Fem
136,Guildford Flames,Sing,Neut
137,Niezależne Stowarzyszenie Psychiatryczne,Sing,Masc
138,Józef Dzięgielewski,Sing,Masc
139,KK Zabok,,
140,Bordeaux Gironde hockey sur glace,Sing,Masc
141,Stowarzyszenie Dziennikarzy Tel Awiwu,Sing,
142,Pittsburgh Pirates,Sing,Masc
143,BK Tarnopol,Sing,Masc
144,Howerła Iwano-Frankiwsk,Sing,Masc
145,Fundacja „Pomóż Im”,Sing,
146,Fundacja „Na ratunek dzieciom z chorobą nowotworową”,Sing,Fem
147,Goplania Inowrocław,Sing,Masc
148,Quebec Remparts,Sing,Neut
149,Lausitzer Füchse,Sing,Masc
150,Fribourg-Gottéron,Sing,Masc
151,Vienna Capitals,Sing,Fem
152,Partizan Belgrad,Sing,Masc
153,Komitet na rzecz Uwolnienia Kornela Morawieckiego,Sing,Masc
154,Fundacja Centrum Solidarności,Sing,Fem
155,Konfederacja Lewiatan,Sing,Fem
156,Fundacja Lanckorońskich z Brzezia,Sing,Fem
157,Akcja Wyborcza Polaków na Litwie – Związek Chrześcijańskich Rodzin,Sing,Fem
158,KK Partizan Belgrad,Sing,Masc
159,Sioux Falls Skyforce,Sing,Masc
160,Katarzynki Toruń,Sing,Masc
161,Art Stations Foundation,Sing,Masc
162,Düsseldorfer EG,Sing,Masc
163,EC Wilhelmshaven,Sing,Masc
164,Oklahoma City Barons,Sing,Fem
165,Fundacja Anny Dymnej „Mimo Wszystko”,Sing,Fem
166,Orzeł Polkowice,Sing,Masc
167,Adirondack Flames,Sing,Masc
168,CH Jaca,Sing,Masc
169,Piotr Gajewski,Sing,Masc
170,Santa Cruz Warriors,Sing,Masc
171,HC Innsbruck,Sing,Masc
172,Pogoń Prudnik,Sing,Masc
173,Los Angeles Clippers,Sing,Masc
174,Imatran Ketterä,Sing,Masc
175,Uniwersytet Dzieci,Sing,Masc
176,Dynamo Kijów,Plur,Masc
177,RSC Anderlecht,Sing,Masc
178,National Polish-American Sports Hall of Fame,Plur,Neut
179,Fundacja Alfreda Jurzykowskiego,Sing,Fem
180,Everett Silvertips,Sing,Masc
181,Örebro HK,Sing,Neut
182,Brøndby IF,Sing,Masc
183,Fenerbahçe SK,Sing,Neut
184,Józefa Lis-Błońska,Sing,Fem
185,SKK Siedlce,Sing,Masc
186,Pomorski Klub Hokejowy 2014,Plur,Masc
187,Instytut Romana Dmowskiego w Londynie,Sing,Masc
188,ASK Doral Nysa Kłodzko,Sing,Masc
189,Manitoba Moose,Sing,Masc
190,Dynamo Kijów,Plur,Masc
191,Albany River Rats,Sing,Masc
192,HC Vita Hästen,Sing,Masc
193,St.,Sing,Masc
194,John’s Fog Devils,Sing,Masc
195,Charlotte Hornets,Sing,Masc
196,Property and Environment Research Center,Plur,Masc
197,Portland Pirates,Sing,Neut
198,Ariada Wołżsk,Sing,Masc
199,EHC Olten,Sing,Masc
200,Ślęza Wrocław,Sing,Masc
201,SC Energija,Sing,Masc
202,KHL Mladost Zagrzeb,Sing,Masc
203,HC Hawierzów,Sing,Masc
204,Rauman Lukko,Sing,Masc
205,Washington State Cougars,Sing,Masc
206,MHK Dinamo Moskwa,Sing,Masc
207,HK Dukla Michalovce,Sing,Masc
208,Cmoki Mińsk,Sing,Masc
209,Czarni Lwów,Sing,Masc
210,BKS Bydgoszcz,,
211,Fundacja „Dbam o Zdrowie”,Sing,
212,Rockford IceHogs,Sing,Neut
213,Tęcza Leszno,Sing,Masc
214,Brda Bydgoszcz,Sing,Fem
215,Orlik Opole,Sing,Masc
216,KK Split,Sing,Masc
217,Sokił Kijów,Sing,Masc
218,Rungsted Seier Capital,Sing,Masc
219,AZS Zakopane,Sing,Neut
220,Hawajskie Koszule Żory,Plur,Fem
221,Washington Generals,Sing,Masc
222,Bronisław Wildstein,Sing,Masc
223,Fundacja Aktywnej Rehabilitacji,Sing,Fem
224,Fundacja Signum Magnum,Sing,Fem
225,SDJuSSzOR-Misto Charków,Plur,Masc
226,Fundacja Dziedzictwa Kulturowego,Sing,Fem
227,BK Mladá Boleslav,Sing,Masc
228,Laser HT,Sing,Masc
229,CSKA Kijów,Plur,Neut
230,Fundacja Galerii Foksal,Sing,Fem
231,BK Kijów,Sing,Masc
232,Żydowski Instytut Historyczny,Sing,Masc
233,MKKS Rybnik,Sing,Masc
234,Spartak Primorje,Sing,
235,Kyjiw-Basket Kijów,Plur,Masc
236,Stal Stalowa Wola,Sing,Fem
237,Los Angeles Sparks,Sing,Masc
238,Trabzonspor Basketbol Takımı,Sing,Masc
239,Sprawiedliwość i Wolność,Sing,Fem
240,Hartford Whalers,Sing,Neut
241,Salon 101,Sing,Masc
242,Jokerit,,
243,Reading Royals,Sing,Masc
244,Västerviks IK,Sing,Neut
245,Torpedo Ust-Kamienogorsk,Sing,Masc
246,Fundacja im.,Sing,
247,Róży Luksemburg,Sing,Fem
248,Ukraina Lwów,Sing,Masc
249,Toros Nieftiekamsk,Sing,Masc
250,Fundacja Dziecięce Marzenia,Sing,Fem
251,Projekt:,Sing,Masc
252,Polska,Sing,Fem
253,Instytut Nowych Mediów,Sing,Masc
254,Nauka i Praca,Sing,Fem
255,Fortuna Hjørring,Sing,Masc
256,Syracuse Crunch,Sing,Masc
257,Polski Klub Dyskusyjny,Sing,Masc
258,Zagłębie Sosnowiec,Sing,Neut
259,Vegas Golden Knights,Sing,Masc
260,Hockey Punks,Sing,Masc
261,Pogoń Lwów,Sing,Masc
262,Fundacja Zaginieni,Sing,Fem
263,Kajaanin Hokki,Sing,Masc
264,Lahden Reipas,Sing,Masc
265,Abbotsford Heat,Sing,Masc
266,Kulczyk Foundation,Sing,Masc
267,Seattle SuperSonics,Sing,Masc
268,Komitet Katyński,Sing,Masc
269,Kitchener Rangers,Sing,Masc
270,Arizona Coyotes,Sing,Masc
271,Stefan Szwedowski,Sing,Masc
272,HC Dukla Jihlava,Sing,Masc
273,Trefl Sopot,Sing,Masc
274,Santos FC Feminino,Sing,Masc
275,Frankiwsk Iwano-Frankiwsk,Sing,Masc
276,Narodowa Fundacja Ochrony Środowiska,Sing,Fem
277,Naczelna Izba Lekarska,Sing,Fem
278,Fundacja Uniwersytetu w Białymstoku,Sing,Fem
279,Unia Stowarzyszeń i Organizacji Polskich w Ameryce Łacińskiej,Sing,Fem
280,Payne Fund,Sing,Masc
281,Kołos Połtawa,Sing,Masc
282,Lista ukraińskich klubów koszykarskich,Sing,Masc
283,Fundacja Rozwoju Społeczeństwa Informacyjnego,Sing,Fem
284,HB Køge,,
285,HC Sierre,Sing,Masc
286,HC Prešov Penguins,Sing,Masc
287,Fundacja im.,Sing,
288,Michała Oczapowskiego,Sing,Fem
289,Klub Sceptyków Polskich,Sing,Masc
290,Tirana AS,Sing,Fem
291,Fundacja Gajusz,Sing,Masc
292,HK Skalica,Sing,Masc
293,KS Lublinianka,Sing,Masc
294,Detroit Pistons,Sing,Neut
295,BSC Berlin,Sing,Masc
296,HK Zemgale,Sing,Masc
297,Sherbrooke Phoenix,Sing,Masc
298,Komitet Obrony Narodowej,Sing,Masc
299,Binokor Taszkent,Sing,Masc
300,Heilbronner Falken,Sing,Masc
301,Komitet Obrony Sprawiedliwości,Sing,Fem
302,D Team,Sing,
303,Fundacja Instytut na rzecz Państwa Prawa,Sing,Fem
304,Toledo Storm,Plur,Fem
305,Helios Suns,Sing,Masc
306,St.,Sing,Masc
307,John’s IceCaps,Sing,Masc
308,Adam Smith Institute,Sing,Masc
309,Royal Excelsior SC,Sing,Masc
310,Glinik Gorlice,Sing,Masc
311,Fundacja Bezpieczna Cyberprzestrzeń,Sing,Fem
312,Antyfaszystowska Organizacja Bojowa,Sing,Fem
313,Instytut Spraw Publicznych,Sing,Masc
314,Portland Winterhawks,Sing,Neut
315,Fundacja Redemptoris Missio,Sing,Fem
316,Włodzimierz Krzyżosiak,Sing,Masc
317,Komitet Medalu Katyńskiego,Sing,Masc
318,Polskie Towarzystwo Anatomiczne,Sing,Neut
319,The Wake Forest Institute for Regenerative Medicine,Sing,Masc
320,Fenerbahçe Ülker,Sing,Masc
321,UKS Niedźwiadki MOSiR Sanok,Sing,Masc
322,Utah Grizzlies,Sing,Masc
323,Český klub skeptiků Sisyfos,Sing,Masc
324,UKS GIMBASKET Wrocław,Sing,Masc
325,Nowojorski Komitet Wyborczy Solidarności,Sing,Masc
326,Stal Rzeszów,Sing,Fem
327,Florida Panthers,Plur,Fem
328,Tampa Bay Lightning,Sing,Masc
329,Towarzystwo imienia Romana Dmowskiego,Sing,Neut
330,HK Dynama Mołodeczno,Sing,Masc
331,Stowarzyszenie na Rzecz Rozwoju Społeczeństwa Obywatelskiego Pro Humanum,Sing,Masc
332,Polsko-Amerykańska Fundacja Wolności,Sing,Fem
333,SG Cortina,Sing,Masc
334,HK Lipieck,Sing,Masc
335,Eisbären Berlin,Sing,Masc
336,Biełyje Miedwiedi Czelabińsk,Sing,
337,Kotwica Kołobrzeg,Sing,Masc
338,Unia Oświęcim,Sing,Fem
339,Edmonton Oilers,Sing,Masc
340,Nottingham Panthers,Sing,
341,Polskie Towarzystwo Chorób Płuc,Sing,Neut
342,Federacja Organizacji Polskich na Ukrainie,Sing,Fem
343,HDD Jesenice,Sing,Fem
344,HK Ogre,Sing,Masc
345,Biłyj Bars Biała Cerkiew,Sing,Fem
346,CB Breogán,,
347,Solidarność Wolnych Polaków w Bawarii,Sing,Fem
348,Pantery Humań,Sing,Masc
349,Stal Makiejewka,Sing,Fem
350,Astronomische Gesellschaft,Sing,Masc
351,Związek Polaków na Łotwie,Sing,Fem
352,INPRIS,Sing,Masc
353,Równe Szanse,Sing,Masc
354,Instytut Józefa Piłsudskiego w Ameryce,Sing,Masc
355,Fundacja Ja Wisła,Sing,Fem
356,MHK Spartak Moskwa,Sing,Masc
357,Polskie Towarzystwo Nefrologiczne,Sing,Neut
358,Buran Woroneż,Sing,Masc
359,Stella Gniezno,Sing,Masc
360,Międzynarodowy Wolontariat Don Bosco,Sing,Masc
361,Kooveen jääkiekko,Sing,Masc
362,Jednist'-SzWSM Płysky,Sing,Masc
363,Pittsburgh Penguins,Sing,Masc
364,Forssan Palloseura,Sing,Masc
365,HK Astana,Sing,Masc
366,Chimik Woskriesiensk,Sing,Masc
367,Okęcie Warszawa,Plur,
368,Jużnyj Urał Orsk,Sing,Masc
369,Medicine Hat Tigers,Sing,Masc
370,HC Ambrì-Piotta,Sing,Masc
371,HYS The Hague,Sing,Masc
372,Gwardia Wrocław,Sing,Fem
373,Awto Jekaterynburg,Sing,Masc
374,Polskie Towarzystwo Andrologiczne,Sing,Neut
375,Fundacja Komunikacji Społecznej,Sing,Fem
376,Lokomotiw Kubań,Plur,Neut
377,HC Energie Karlowe Wary,Sing,Masc
378,Fundacja Nadzieja,Sing,Fem
379,Organizacja Studentów Polskich w Nowym Jorku,Sing,Fem
380,EHC Lustenau,Sing,Masc
381,Festiwal Filmowy Watch Docs,Sing,Masc
382,VEU Feldkirch,Sing,Masc
383,Waterloo Hawks,Sing,Masc
384,Pałac Bursztynowy we Włocławku,Sing,Masc
385,Milwaukee Admirals,,
386,Sparta Kijów,Sing,Masc
387,Polskie Towarzystwo Fizyki Medycznej,Sing,Fem
388,Zjednoczenie Zawodowe Polskie,Sing,Neut
389,Polskie Towarzystwo Chirurgów Dziecięcych,Sing,Neut
390,New York Knicks,Sing,Masc
391,Program Study Tours to Poland,Sing,
392,ŽNK Pomurje,Sing,
393,Valencia CF Femenino,Sing,Masc
394,Bank Żywności SOS w Warszawie,Sing,Fem
395,Heritage Lottery Fund,Sing,Masc
396,Kiedr Nowouralsk,Sing,Masc
397,Sarmaty Orenburg,Sing,Masc
398,Związek Narodowy Polski,Sing,Masc
399,Omskije Jastrieby,Plur,Fem
400,Atlanta Hawks,Sing,Fem
401,Fundacja Malta,Sing,Fem
402,Związek Śląskich Katolików,Sing,Masc
403,Fundacja Itaka,Sing,Fem
404,Toronto Huskies,Sing,Masc
405,Gorniak Rudnyj,Sing,Masc
406,Bill &,Sing,Masc
407,Melinda Gates Foundation,Sing,Masc
408,HC Red Ice,Sing,Masc
409,Państwowy Instytut Telekomunikacyjny,Sing,Masc
410,Rødovre Mighty Bulls,Sing,Masc
411,Lemur Conservation Foundation,Sing,Masc
412,Amerykańskie Towarzystwo Psychiatryczne,Sing,Neut
413,Polska Ludowa Akcja Niepodległościowa,Sing,Fem
414,Fundacja „Pomoc Polakom na Wschodzie”,Sing,Masc
415,Fundacja Rodzin Górniczych,Sing,Fem
416,Niagara IceDogs,,
417,Górnik 09 Mysłowice,Sing,Masc
418,Donbas Donieck,Sing,Masc
419,Fundacja Ochrony Twórczości Audiowizualnej,Sing,Fem
420,CSA Steaua Bukareszt,Sing,Fem
421,Gustaw Herling-Grudziński,Sing,Masc
422,Stowarzyszenie Oliwskie Słoneczko,Sing,Masc
423,Humo Taszkent,,
424,Fundacja Azylu pod Psim Aniołem,Sing,Masc
425,Arsenał Charków,Sing,Masc
426,Fundacja EquiLibre,Sing,Fem
427,Seattle Thunderbirds,Sing,Masc
428,Grasshopper Club Zürich,Sing,Masc
429,Fundacja Senior w Koronie,Sing,Fem
430,Międzynarodowy Instytut Społeczeństwa Obywatelskiego,Sing,Masc
431,Stabæk Fotball Kvinner,Sing,Masc
432,Polskie Towarzystwo Psychologiczne,Sing,Neut
433,Rayo Vallecano Femenino,Sing,Masc
434,Fischtown Pinguins Bremerhaven,Sing,Masc
435,Elektro Łaziska Górne,Sing,Masc
436,Fundacja dla Polski,Sing,Fem
437,Polskie Towarzystwo Okulistyczne,Sing,Neut
438,Bristol City W.F.C.,Sing,Masc
439,Cleveland Rockers,Sing,Neut
440,ETC Crimmitschau,Sing,Masc
441,PTH Poznań,Sing,Masc
442,Budiwelnyk Kijów,Sing,Masc
443,UCLA Bruins,Plur,Neut
444,Tampereen Pyrintö,Sing,Masc
445,Klub Ogniwo,,
446,Obóz Młodzieżowy w Yorkville,Sing,Masc
447,DHK Latgale,Sing,Masc
448,Tur Bielsk Podlaski,Sing,Masc
449,Saskatoon Blades,Sing,Masc
450,Polski Legion Weteranów Amerykańskich,Sing,Masc
451,Las Vegas Aces,Sing,Masc
452,AZS Poznań,Sing,
453,Prykarpattia-DJuSSz-3 Iwano-Frankiwsk,Sing,
454,Fundacja im.,Sing,
455,Heinricha Bölla,Sing,Fem
456,Spartak Petersburg,Sing,Masc
457,Helsingin Jääkiekkoklubi,Sing,Masc
458,Znicz Pruszków,Sing,
459,Fundacja Rozwoju Systemu Edukacji,Sing,Fem
460,Mamonty Jugry Chanty-Mansyjsk,Sing,Masc
461,Fundacja Festina Lente,Sing,Fem
462,Kootenay Ice,Plur,Masc
463,Błękitni Kielce,Sing,Masc
464,BK NH Ostrava,Sing,Masc
465,Polski Instytut Naukowy w Ameryce,Sing,Masc
466,Kassel Huskies,Sing,Masc
467,Fundacja Hospicyjna,Sing,Fem
468,Fundacja Rozwoju Kardiochirurgii im.,Sing,Fem
469,prof.,Sing,Masc
470,Zbigniewa Religi,Plur,Neut
471,Pogoń Ruda Śląska,Sing,Masc
472,Fundacja Animacja,Sing,Fem
473,Fundacja Kultury i Dziedzictwa Ormian Polskich,Sing,Fem
474,Wybrzeże Gdańsk,Sing,Masc
475,Hamilton Bulldogs,Sing,Masc
476,Viola Reggio Calabria,Sing,Fem
477,Sławuticz Smoleńsk,Sing,
478,SzWSM-Izmajłowo Moskwa,Sing,
479,Dijon Hockey Club,Sing,Fem
480,SC Langenthal,Sing,Masc
481,Mayo Clinic,Sing,Neut
482,Delaware Blue Coats,Sing,Masc
483,Miami Sol,Sing,Masc
484,Björninn,Sing,Masc
485,Manchester City W.F.C.,Sing,Masc
486,Unia Opole,Sing,
487,Polski Instytut Ekonomiczny,Sing,Masc
488,Portland Trail Blazers,Sing,Masc
489,Ogólnopolska Fundacja Edukacji Komputerowej,Sing,Fem
490,Cohabitat,Sing,Masc
491,Utex ROW Rybnik,Sing,Masc
492,Towarzystwo Lekarskie Warszawskie,Sing,Neut
493,Open Society Foundations,Sing,Masc
494,Władysław Gęborek,Sing,Masc
495,Polacy w Rosji,Plur,Masc
496,Fundacja Dzieciom „Zdążyć z Pomocą”,,
497,SKA Sankt Petersburg,Sing,
498,Anadolu Efes Stambuł,Sing,Masc
499,PSG Zlín,Sing,Masc
500,Norfolk Admirals,Sing,Masc
501,Dziki Warszawa,Plur,Masc
502,Cincinnati Cyclones,Sing,Masc
503,Włókniarz Zgierz,Sing,Masc
504,Dom Spotkań z Historią,Sing,Masc
505,EHC Kloten,Sing,Masc
506,BK Dnipro,Sing,Neut
507,Karol Kryński,Sing,Masc
508,Chemik Kędzierzyn-Koźle,Sing,Masc
509,Olimpia Mediolan,Sing,Fem
510,Fundacja Hirschfeld-Eddy,Sing,Fem
511,Real Madryt,Sing,Fem
512,Fundacja Nasza Ziemia,Sing,Fem
513,MUKS Tomaszów Mazowiecki,Sing,Masc
514,AZS Politechnika Warszawska,Sing,Fem
515,Belleville Bulls,Sing,Masc
516,HC Lugano,Sing,Masc
517,MUKS 1811 Tarnów,Plur,Masc
518,Centrum Kultury Polskiej,Sing,Neut
519,Utica Comets,Sing,Masc
520,HK Beostar Belgrad,Sing,Masc
521,Maciej Aleksy Dawidowski,Sing,Masc
522,Liga Praw Człowieka,Sing,Fem
523,Fort Wayne Mad Ants,Sing,Masc
